,Purl,Old Label,New Label,Old Definition,New Definition
0,ICO_0000001,informed consent form,informed consent form,A document that explains all relevant study information to assist a human subject in understanding the expectations and requirements of participation in a research study. This form document is presented to and signed by the study subject. ,"A document that explains all relevant information to assist a human being to understand the expectations and requirements of participation in a study or procedure, and is an instrument in obtaining consent."
1,ICO_0000003,validating an informed consent form,validating an informed consent form,a planned process that validates an informed consent form.,a planned process that validates an informed consent form.
113,ICO_0000004,approving an informed consent form,approving an informed consent form,a planned process that approves an informed consent form.,a planned process that approves an informed consent form.
114,ICO_0000006,informed consent regulatory body,informed consent regulatory body,"an organization charged with approving clinical study protocols, and ensuring that applicable governing rules and laws are upheld.","an organization charged with approving clinical study protocols, and ensuring that applicable governing rules and laws are upheld."
2,ICO_0000007,part of informed consent form,part of informed consent form,a document that is a part of an informed consent form.,a document that is a part of an informed consent form.
3,ICO_0000008,description of risk in informed consent form,description of participation risk,a part of informed consent form that describes the risk of a study.,A document part that describes the harm(s) that accompany participation and their likelihoods.
4,ICO_0000009,specification of recontact method in informed consent form,specification of recontact method,a part of an informed consent form that specifies a recontact method (e.g. email).,A document part that specifies a method of contact in the future.
5,ICO_0000010,option to check in informed consent form,option to check in informed consent form,a part of an informed consent form that specifies an optional element within the form.,a part of an informed consent form that specifies an optional element within the form.
115,ICO_0000011,required informed consent element,required informed consent element,a part of an informed consent form that is required for the form to be used in an informed consent process.,a part of an informed consent form that is required for the form to be used in an informed consent process.
116,ICO_0000012,optional informed consent element,optional informed consent element,a part of informed consent form that is not required (optional) for the form.,a part of informed consent form that is not required (optional) for the form.
6,ICO_0000015,signed informed consent form,signed informed consent form,an informed consent form that has been signed by at least one participant.,An informed consent form that has been signed by at least one participant.
59,ICO_0000016,allowed research scope in informed consent form,allowed research scope in informed consent form,a part of informed consent form that specifies the scope of allowed research and is derived from a research protocol.,a part of informed consent form that specifies the scope of allowed research and is derived from a research protocol.
7,ICO_0000019,signature section in informed consent form,signature section,a part of an informed consent form that is specified as a place to receive a signature.,A document part that is specified as a place to receive a signature.
8,ICO_0000022,date specification in informed consent form,date specification,a part of an informed consent form that specifies a date.,A document part that specifies a date.
9,ICO_0000023,completely filled informed consent form,completely filled informed consent form,an informed consent form that has been filled with all required contents.,an informed consent form that has been filled with all required contents.
10,ICO_0000024,partially filled informed consent form,partially filled informed consent form,an informed consent form that has been partially filled with required contents.,an informed consent form that has been partially filled with required contents.
117,ICO_0000025,effective date specification in informed consent form,effective date specification in informed consent form,a date specification in an informed consent form that specifies an effective date of an investigation.,a date specification in an informed consent form that specifies an effective date of an investigation.
118,ICO_0000026,expiration date specification in informed consent form,expiration date specification in informed consent form,a date specification in an informed consent form that specifies the expiration date of an investigation.,a date specification in an informed consent form that specifies the expiration date of an investigation.
11,ICO_0000028,part of informed consent form for human blood sample collection,human blood sample collection section,a part of informed consent form that is designed for human blood sample collection. ,A document part that describes and specifies human blood sample collection procedures.
119,ICO_0000029,informed consent form for clinical study,informed consent form for clinical study,an informed consent form that is used for a clincal study.,an informed consent form that is used for a clincal study.
120,ICO_0000030,informed consent form for storage and future use of unused samples,informed consent form for storage and future use of unused samples,an informed consent form that is used for a storage and future use of unused samples. ,an informed consent form that is used for a storage and future use of unused samples.
121,ICO_0000031,informed consent form for qualitative study,informed consent form for qualitative study,an informed consent form that is used for a qualitative study.,an informed consent form that is used for a qualitative study.
12,ICO_0000032,informed assent form for child or minor,informed assent form for child or minor,an informed consent form that is used for a study involving a minor.,An informed consent form that is adapted to the cognitive capacities of a child or minor
60,ICO_0000033,informed parental consent form for qualitative research involving children,informed consent form for qualitative research involving children,an informed consent form for qualitative study that involves children.,an informed consent form for qualitative study that involves children.
61,ICO_0000034,'informed parental consent form for clinical research involving children',informed consent form for clinical research involving children',an informed consent form for clinical studies that involve children.,an informed consent form for clinical study that involves children.
13,ICO_0000035,date specification in informed consent form,date specification in informed consent form,a data item that indicates a date that specified on an informed consent form,a data item that indicates a date that specified on an informed consent form
122,ICO_0000037,project duration specification in informed consent form,project duration specification in informed consent form,a date that specifies a project duration date in an informed consen form.,a date that specifies a project duration date in an informed consen form.
14,ICO_0000038,project starting date specification in informed consent form,project starting date specification,a date that specifies a starting date of an investigation project shown in an informed consent form. ,A date specification that specifies the date when an investigation project begins
15,ICO_0000039,project ending date specification in informed consent form,project ending date specification,a date that specifies a starting date of an investigation project shown in an informed consent form. ,A date specification that specifies the date when an investigation project ends
123,ICO_0000041,informed consent rule specification,informed consent rule specification,"a directive information entity that specifies the deontic roles that are produced, revoked, or modified following a process of informed consent, where those deontic roles inhere in a) the human subject consenter signing an informed consent form and b) the investigator or organization leading a research study or providing health care.","a directive information entity that specifies the deontic roles that are produced, revoked, or modified following a process of informed consent, where those deontic roles inhere in a) the human subject consenter signing an informed consent form and b) the investigator or organization leading a research study or providing health care."
16,ICO_0000042,obligation informed consent rule specification,obligation informed consent rule specification,an informed consent rule specification that specifies a course of action legally required to be taken. An example is that the organization leading a study is obliged to destroy the patient's biospecimens after 10 years as required in an informed consent form.,an informed consent rule specification that specifies a course of action legally required to be taken. An example is that the organization leading a study is obliged to destroy the patient's biospecimens after 10 years as required in an informed consent form.
124,ICO_0000042,obligation informed consent rule specification,obligation informed consent rule specification,an informed consent rule specification that specifies a course of action legally required to be taken. An example is that the organization leading a study is obliged to destroy the patient's biospecimens after 10 years as required in an informed consent form.,an informed consent rule specification that specifies a course of action legally required to be taken. An example is that the organization leading a study is obliged to destroy the patient's biospecimens after 10 years as required in an informed consent form.
17,ICO_0000043,permission informed consent rule specification,permission informed consent rule specification,an informed consent rule specification that specifies an optional course of action that is an option for a participant to take. An example is that a human subject consenter is given the option to withdraw from a consented study any time as specified in an informed consent form.,an informed consent rule specification that specifies an optional course of action that is an option for a participant to take. An example is that a human subject consenter is given the option to withdraw from a consented study any time as specified in an informed consent form.
125,ICO_0000043,permission informed consent rule specification,permission informed consent rule specification,an informed consent rule specification that specifies an optional course of action that is an option for a participant to take. An example is that a human subject consenter is given the option to withdraw from a consented study any time as specified in an informed consent form.,an informed consent rule specification that specifies an optional course of action that is an option for a participant to take. An example is that a human subject consenter is given the option to withdraw from a consented study any time as specified in an informed consent form.
18,ICO_0000044,informed consent identification code,informed consent identification code,a data item consisting of a unique identification code designating an informed consent.,a data item consisting of a unique identification code designating an informed consent.
19,ICO_0000045,investigator,investigation agent role,a human that has the role of investigator in a research study. ,"A role borne by an entity and that is realized in a process that is part of an investigation in which an objective is achieved. These processes include, among others: planning, overseeing, funding, reviewing."
62,ICO_0000047,human population,human population,a population of human beings,a population of human beings
95,ICO_0000048,nonprofit organization,nonprofit organization,an organization that is operated without a goal of making an financial profit ,an organization that is operated without a goal of making an financial profit
104,ICO_0000048,nonprofit organization,nonprofit organization,an organization that is operated without a goal of making an financial profit,an organization that is operated without a goal of making an financial profit
96,ICO_0000049,profit organization,profit organization,an organization which has the goal of earning financial profit,an organization which has the goal of earning financial profit
105,ICO_0000049,profit organization,profit organization,an organization which has the goal of earning financial profit,an organization which has the goal of earning financial profit
63,ICO_0000050,animal research investigation,animal research investigation,an investigation that involves animal research,An investigation that involves animal research
64,ICO_0000051,cancer research investigation,cancer research investigation,an investigation that targets cancer research,An investigation that targets cancer research
97,ICO_0000053,drug testing research investigation,drug testing investigation,an investigation that targets drug testing,An investigation that targets drug testing
106,ICO_0000053,drug testing investigation,drug testing investigation,An investigation that targets drug testing,An investigation that targets drug testing
65,ICO_0000054,human research investigation,human research investigation,an investigation that involves human research,An investigation that involves human research
66,ICO_0000056,nonprofit research investigation,nonprofit research investigation,an investigation that is conducted with a nonprofit purpose,An investigation that is conducted with a nonprofit purpose
67,ICO_0000057,profit research investigation,commercial research investigation,an investigation that is conducted with the purpose of earning a profit.,An investigation that is conducted with the purpose of earning a profit.
68,ICO_0000058,informed consented study period,study period,a one-dimensional temporal region that is a period of an informed consented study,A one-dimensional temporal region that is a period of a study
126,ICO_0000059,ethics rule specification in informed consent,ethics rule specification in informed consent,an informed consent rule specification that specifies the ethics in informed consent. ,an informed consent rule specification that specifies the ethics in informed consent.
20,ICO_0000060,storing a specimen,storing a specimen,"a planned process that stores a specimen in a specific location (e.g., a freezer).",A planned process that stores a biological specimen in a specific location.
127,ICO_0000061,informed consent form for genetic study,informed consent form for genetic study,an informed consent form that is designed for use in genetic studies.,an informed consent form that is designed for use in genetic studies.
128,ICO_0000063,informed consent form for quantitative study,informed consent form for quantitative study,,
69,ICO_0000064,study requiring informed consent,study requiring informed consent,an investigation requiring an official informed consent process.,An investigation that requires an informed consent process
70,ICO_0000065,clinical trial study,clinical trial,,
71,ICO_0000066,title of a clinical trial study,clinical trial title,an investigation title that designates a clinical trial study that requires informed consent.,"An investigation title that designates a clinical trial study, briefly identifying the purpose or design of the investigation."
129,ICO_0000068,general requirement for informed consent,general requirement for informed consent,,
72,ICO_0000069,contact person for questions about research,contact person for questions about research,a person who is the contact for questions about research,a person who is the contact for questions about research
73,ICO_0000070,contact person for questions about research subject rights,contact person for questions about research subject rights,,
74,ICO_0000071,contact person in the event of a research-related injury to the subject,contact person in the event of a research-related injury to the subject,,
21,ICO_0000072,contact person in informed consent process,contact person in informed consent process,a person who can be contacted during an informed consent process.,a person who can be contacted during an informed consent process.
75,ICO_0000073,human subject,research subject role,"an individual who is a participant in a research study, either as a recipient of the test article (e.g., drug or medical device) or as a control.",A role that inheres in human being and is an output of some participation in a research study.
22,ICO_0000075,authorization documentation,authorization document,The documentation that is the output of an authorization process.,A document that is the output of an authorization process.
23,ICO_0000077,benefit,benefit,A benefit is a disposition or the potential positive effects that may arise from participatiing in a study.,A benefit is a disposition or the potential positive effects that may arise from participatiing in a study.
130,ICO_0000077,benefit,benefit,A benefit is a disposition or the potential positive effects that may arise from participatiing in a study.,A benefit is a disposition or the potential positive effects that may arise from participatiing in a study.
24,ICO_0000078,risk,risk,A risk is a disposition or the potential future harm that may arise from some present action. It is often combined or confused with the probability of an event which is seen as undesirable.,A risk is a disposition or the potential future harm that may arise from some present action. It is often combined or confused with the probability of an event which is seen as undesirable.
131,ICO_0000078,risk,risk,A risk is a disposition or the potential future harm that may arise from some present action. It is often combined or confused with the probability of an event which is seen as undesirable.,A risk is a disposition or the potential future harm that may arise from some present action. It is often combined or confused with the probability of an event which is seen as undesirable.
