Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	obo:RO_0000302	obo:IAO_0000115		
ERROR	duplicate_definition	obo:RO_0000301	obo:IAO_0000115		
ERROR	duplicate_definition	obo:RO_0002406	obo:IAO_0000115		
ERROR	duplicate_definition	obo:IAO_0100001	obo:IAO_0000115		
ERROR	duplicate_definition	obo:RO_0002407	obo:IAO_0000115		
ERROR	duplicate_definition	obo:RO_0008508	obo:IAO_0000115		
ERROR	duplicate_definition	obo:RO_0008507	obo:IAO_0000115		
ERROR	duplicate_definition	obo:IAO_0000603	obo:IAO_0000115		
ERROR	duplicate_definition	obo:OBI_0000299	obo:IAO_0000115		
ERROR	duplicate_definition	obo:RO_0002583	obo:IAO_0000115		
ERROR	duplicate_definition	obo:OBI_0000312	obo:IAO_0000115		
ERROR	duplicate_definition	obo:RO_0002593	obo:IAO_0000115		
ERROR	deprecated_class_reference	obo:RO_0002403	owl:propertyChainAxiom		
ERROR	deprecated_class_reference	obo:IAO_0021005	rdfs:subClassOf		
ERROR	deprecated_class_reference	obo:ICO_0000130	rdfs:domain		
ERROR	deprecated_class_reference	obo:ICO_0000130	rdfs:range		
ERROR	duplicate_label	obo:ICO_0000126	rdfs:label		
ERROR	duplicate_label	obo:IAO_0621008	rdfs:label		
ERROR	duplicate_label	obo:ICO_0000215	rdfs:label		
ERROR	duplicate_label	obo:ICO_0000119	rdfs:label		
ERROR	duplicate_label	obo:GO_0044464	rdfs:label		
ERROR	duplicate_label	obo:CARO_0000014	rdfs:label		
ERROR	multiple_definitions	obo:IAO_0100001	obo:IAO_0000115		
ERROR	multiple_definitions	obo:BFO_0000004	obo:IAO_0000115		
ERROR	multiple_definitions	obo:BFO_0000015	obo:IAO_0000115		
ERROR	multiple_definitions	obo:IAO_0000603	obo:IAO_0000115		
ERROR	multiple_definitions	obo:BFO_0000020	obo:IAO_0000115		
ERROR	multiple_definitions	obo:BFO_0000031	obo:IAO_0000115		
ERROR	missing_label	obo:OBI_1110046	rdfs:label		
ERROR	missing_label	dc11:language	rdfs:label		
ERROR	missing_label	foaf:page	rdfs:label		
ERROR	missing_label	obo:obi.owl	rdfs:label		
ERROR	missing_label	obo:OBI_0001199	rdfs:label		
ERROR	missing_label	obo:OBI_0000423	rdfs:label		
ERROR	missing_label	obo:NCBITaxon_2759	rdfs:label		
ERROR	missing_label	obo:OBI_1110041	rdfs:label		
ERROR	missing_label	obo:OBI_0000417	rdfs:label		
ERROR	missing_label	obo:OBI_0001506	rdfs:label		
ERROR	missing_label	obo:OBI_0001628	rdfs:label		
ERROR	missing_label	dc11:date	rdfs:label		
ERROR	missing_label	obo:OBI_0000671	rdfs:label		
ERROR	missing_label	obo:OBI_0000792	rdfs:label		
ERROR	missing_label	dc11:description	rdfs:label		
ERROR	missing_label	obo:OBI_0000434	rdfs:label		
ERROR	missing_label	obo:REO_0000171	rdfs:label		
ERROR	missing_label	obo:OBI_0000678	rdfs:label		
ERROR	missing_label	obo:CL_0000010	rdfs:label		
ERROR	missing_label	obo:PATO_0000011	rdfs:label		
ERROR	missing_label	urn:swrl#g2	rdfs:label		
ERROR	missing_label	urn:swrl#g1	rdfs:label		
ERROR	missing_label	foaf:homepage	rdfs:label		
ERROR	missing_label	obo:BFO_0000118	rdfs:label		
ERROR	missing_label	obo:BFO_0000119	rdfs:label		
ERROR	missing_label	oboInOwl:creation_date	rdfs:label		
ERROR	missing_label	obo:OBI_0000680	rdfs:label		
ERROR	missing_label	obo:BFO_0000115	rdfs:label		
ERROR	missing_label	obo:BFO_0000117	rdfs:label		
ERROR	missing_label	obo:OBI_0000681	rdfs:label		
ERROR	missing_label	obo:PATO_0001237	rdfs:label		
ERROR	missing_label	obo:OBI_0000684	rdfs:label		
ERROR	missing_label	obo:OBI_0000441	rdfs:label		
ERROR	missing_label	obo:OBI_0000444	rdfs:label		
ERROR	missing_label	obo:OBI_0000686	rdfs:label		
ERROR	missing_label	obo:OBI_0001527	rdfs:label		
ERROR	missing_label	obo:OBI_0000319	rdfs:label		
ERROR	missing_label	rdfs:seeAlso	rdfs:label		
ERROR	missing_label	obo:BFO_0000110	rdfs:label		
ERROR	missing_label	obo:BFO_0000111	rdfs:label		
ERROR	missing_label	obo:CHEBI_16991	rdfs:label		
ERROR	missing_label	obo:OBI_0100017	rdfs:label		
ERROR	missing_label	obo:BFO_0000112	rdfs:label		
ERROR	missing_label	obo:BFO_0000113	rdfs:label		
ERROR	missing_label	obo:OBI_0100016	rdfs:label		
ERROR	missing_label	obo:BFO_0000107	rdfs:label		
ERROR	missing_label	obo:OBI_1110055	rdfs:label		
ERROR	missing_label	obo:GO_0004872	rdfs:label		
ERROR	missing_label	obo:OBI_0000453	rdfs:label		
